,0
0,1.4
1,2.75
2,4.15
3,5.6000000000000005
4,7.15
5,8.7
6,10.149999999999999
7,11.599999999999998
8,13.049999999999997
9,14.549999999999997
10,16.099999999999998
11,17.599999999999998
12,18.849999999999998
13,19.999999999999996
14,21.349999999999998
15,22.749999999999996
16,24.099999999999998
17,25.65
18,27.25
19,28.85
20,30.450000000000003
21,31.700000000000003
22,33.050000000000004
23,34.85
24,36.6
25,38.2
26,39.75
27,41.2
28,42.7
29,44.300000000000004
30,45.85
31,47.35
32,48.800000000000004
33,50.25000000000001
34,51.60000000000001
35,52.85000000000001
36,54.20000000000001
37,55.55000000000001
38,56.95000000000001
39,58.35000000000001
40,59.650000000000006
41,60.95
42,62.400000000000006
43,64.15
44,65.80000000000001
45,67.30000000000001
46,68.80000000000001
47,70.25000000000001
48,71.70000000000002
49,74.75000000000001
50,79.35000000000001
51,84.05000000000001
52,88.50000000000001
53,92.80000000000001
54,97.35000000000001
55,101.95
56,105.95
57,109.9
58,114.15
59,117.85000000000001
60,121.7
61,125.8
62,130.15
63,134.3
64,138.3
65,142.75
66,147.05
67,151.35000000000002
68,155.55
69,159.9
70,164.3
71,168.75
72,173.55
73,178.05
74,182.4
75,187.0
76,191.9
77,196.65
78,200.65
79,204.3
80,208.05
81,211.85000000000002
82,216.35000000000002
83,221.15000000000003
84,225.65000000000003
85,230.25000000000003
86,234.80000000000004
87,239.05000000000004
88,243.10000000000005
89,247.30000000000004
90,251.80000000000004
91,256.1
92,259.75
93,263.5
94,267.7
95,271.9
96,276.15
97,279.79999999999995
98,283.34999999999997
99,288.4
100,293.95
101,299.45
102,305.2
103,310.9
104,317.09999999999997
105,322.65
106,328.04999999999995
107,334.09999999999997
108,340.04999999999995
109,345.65
110,350.84999999999997
111,356.24999999999994
112,361.49999999999994
113,366.54999999999995
114,371.74999999999994
115,377.1499999999999
116,383.24999999999994
117,390.04999999999995
118,395.99999999999994
119,401.34999999999997
120,406.65
121,412.45
122,418.25
123,423.55
124,429.40000000000003
125,434.8
126,439.65000000000003
127,444.90000000000003
128,450.6
129,456.55
130,462.8
131,468.8
132,474.15000000000003
133,479.50000000000006
134,485.3500000000001
135,491.2000000000001
136,496.7500000000001
137,501.9000000000001
138,507.0000000000001
139,512.5000000000001
140,517.8500000000001
141,522.9500000000002
142,528.4500000000002
143,534.2500000000001
144,539.7000000000002
145,544.8000000000002
146,549.9000000000002
147,555.2000000000002
148,560.4500000000002
